,Fullname,IsCenter,ID
216,江西德安万年青水泥有限公司,False,216
217,上饶市万年青商砼有限公司,False,217
218,庐山万年青新型材料有限公司,False,218
219,景德镇市城竟混凝土有限公司,False,219
220,江西黄金埠万年青水泥有限责任公司,False,220
221,赣州开元万年青商砼有限公司,False,221
222,江西兴国万年青商砼有限公司,False,222
223,赣州永固高新材料有限公司,False,223
224,瑞金万年青商砼有限公司,False,224
225,瑞金万年青新型建材有限公司,False,225
226,上犹万年青新型材料有限公司,False,226
227,石城万年青新型建材有限公司,False,227
228,云南浩鑫铝箔有限公司,False,228
229,云南源鑫炭素有限公司,False,229
230,云南云铝泽鑫铝业有限公司,False,230
231,云南文山铝业有限公司,False,231
232,云南云铝物流投资有限公司,False,232
233,鹤庆溢鑫铝业有限公司,False,233
234,太钢不锈香港有限公司,False,234
235,南方新材料科技有限公司,False,235
236,安徽中材宝业建筑工业化有限公司,False,236
237,滁州中联混凝土有限公司,False,237
238,南京中联混凝土有限公司,False,238
239,湖州南方物流有限公司,False,239
240,长兴南方水泥有限公司,False,240
241,湖州兴浦南方水泥有限公司,False,241
242,德清南方水泥有限公司,False,242
243,上海南方水泥有限公司,False,243
244,湖南桃源南方新材料科技有限公司,False,244
245,湖南宁乡南方新材料科技有限公司,False,245
246,中建材新材料有限公司,False,246
247,瑞昌市廊道运输有限公司,False,247
248,江苏双龙集团有限公司,False,248
249,崇左南方水泥有限公司,False,249
250,海盐秦山南方水泥有限公司,False,250
251,浙江钱塘港口物流有限公司,False,251
252,安徽广德南方水泥有限公司,False,252
253,贵州西南水泥有限公司,False,253
254,正安西南水泥有限公司,False,254
255,铜仁西南水泥有限公司,False,255
256,重庆万州西南水泥有限公司,False,256
257,重庆中建材新材料有限公司,False,257
258,重庆綦江西南水泥有限公司,False,258
259,中材安徽水泥有限公司,False,259
260,MPANDELIMESTONELIMITED,False,260
261,重庆石柱西南水泥有限公司,False,261
262,云南西南水泥有限公司,False,262
263,嘉华特种水泥股份有限公司,False,263
264,丽江古城西南水泥有限公司,False,264
265,云南兴建水泥有限公司,False,265
266,云南富源西南水泥有限公司,False,266
267,播州西南水泥有限公司,False,267
268,德州中联大坝水泥有限公司,False,268
269,宜阳中联同力新材料有限公司,False,269
270,杭州山亚南方水泥有限公司,False,270
271,建德南方水泥有限公司,False,271
272,浙江南方水泥有限公司,False,272
273,建德更楼矿业有限公司,False,273
274,浙江三狮南方新材料有限公司,False,274
275,江西玉山南方水泥有限公司,False,275
276,德安县南方新材料有限公司,False,276
277,枣庄中联混凝土有限公司,False,277
278,新泰中联泰丰水泥有限公司,False,278
279,滕州中联水泥有限公司,False,279
280,鲁南中联水泥有限公司,False,280
281,曲阜中联水泥有限公司,False,281
282,曲阜中联混凝土有限公司,False,282
283,江西南方水泥有限公司,False,283
284,滁州中联水泥有限公司,False,284
285,嘉兴南湖南方水泥有限公司,False,285
286,抚州市东乡区南方新材料有限公司,False,286
287,徐州中联水泥有限公司,False,287
288,四川西南水泥有限公司,False,288
289,四川利森建材集团有限公司,False,289
290,响水中联水泥有限公司,False,290
291,济宁中联水泥有限公司,False,291
292,平邑中联水泥有限公司,False,292
293,临沂中联水泥有限公司,False,293
